tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-death-comments,animal-ring-id,animal-sex,deployment-comments
170152,JY -  - MPG area,Numenius americanus,2017-05-08 00:00:00.000,,,,,f,
170150,CH -  - MPG area,Numenius americanus,2017-05-08 00:00:00.000,,,,,f,
170153,JP -  - MPG area,Numenius americanus,2017-05-09 00:00:00.000,,,,,m,
170159,JE -  - MPG area,Numenius americanus,2017-05-09 00:00:00.000,,,,,m,
148829,HX - - TNC Flat Ranch,Numenius americanus,2017-05-25 00:00:00.000,,,,,f,
170147,JT - - Heart Mountain WY,Numenius americanus,2017-05-26 00:00:00.000,,,,735-14023,f,
170148,JU - - Polecat,Numenius americanus,2017-05-27 00:00:00.000,,,,,f,
170149,JN - - Heart Mountain WY,Numenius americanus,2017-05-27 00:00:00.000,,,,,m,
170151,HP - - Saratoga WY,Numenius americanus,2017-05-29 00:00:00.000,,,,,f,
170154,JL - - Saratoga WY,Numenius americanus,2017-05-29 00:00:00.000,,,,,m,
170155,JV - - Saratoga WY,Numenius americanus,2017-05-30 00:00:00.000,,,,,f,
170156,HA - - Elk Refuge,Numenius americanus,2017-05-31 00:00:00.000,,,,,f,
170157,JX - - Grand Teton,Numenius americanus,2017-05-31 00:00:00.000,,,,,m,
170158,58 - - Horse Creek WY,Numenius americanus,2017-06-01 00:00:00.000,,,,,m,
170161,61 - - New Fork WY,Numenius americanus,2017-06-02 00:00:00.000,,,,,m,
148834,HN - - New Fork WY,Numenius americanus,2017-06-02 00:00:00.000,,,,,f,
148835,,,,,,,,,
148836,,,,,,,,,
148837,,,,,,,,,
149095,,,,,,,,,
160370,,,,,,,,,
160371,,,,,,,,,
160372,,,,,,,,,
160373,,,,,,,,,
170160,,,,,,,,,
174740,,,,,,,,,
174741,,,,,,,,,
174742,,,,,,,,,
174743,,,,,,,,,
174744,,,,,,,,,
