"x"
7660
25930
1971
6643
23443
23868
13475
22586
28222
9463
24024
27816
13040
36905
8045
21753
23200
19521
26847
35265
15735
2711
10025
26198
3833
8095
33343
26685
27192
1593
9681
35006
28043
12389
17031
9390
9152
2864
3450
2958
37275
21511
19325
9402
9613
37672
26159
28318
26278
4684
3929
27884
27115
5045
28377
28350
23960
27936
22372
20659
12310
31576
21674
28008
15119
31615
28423
33337
34962
34963
27301
28459
31631
24499
31612
24699
22032
31603
24896
15724
26742
31624
18863
25064
27754
23841
27543
9650
22218
23190
23863
28345
20134
4901
17102
17163
13572
33161
31588
12792
21132
15706
33027
33025
6019
33023
20611
19954
31208
30880
19412
21142
23248
5972
22192
23710
5168
14120
13338
24110
2004
13479
24156
18332
10719
18066
6735
28048
25552
26609
28051
25263
22705
25975
19524
23826
6925
23223
18083
23658
25287
22617
957
26638
13631
10152
21808
5464
17688
362
26726
7905
14390
17722
5508
27325
24212
24497
20606
24783
27042
20929
20593
23755
27267
27256
24218
27016
10530
18592
