"longitude";"latitude"
-97.299385;27.424195
-120.849992;35.365945
-119.074287;34.094677
-121.791129;36.813726
-97.255543;27.652407
-122.148485;37.640015
-99.894199;25.210972
-120.840546;35.343308
-117.239542;32.755818
-97.831656;28.009409
-97.518951;27.588375
-120.865016;35.368738
-118.465555;33.983011
-122.224107;37.498933
-122.14767;37.641864
-97.32044;27.364826
-97.606112;27.920594
-101.995121;31.974645
-121.789112;36.815744
-97.213947;28.072192
-122.315235;37.587227
-121.625904;38.545389
-122.315375;37.585588
-122.327815;37.80016
-97.274867;28.310079
-122.315168;37.58717
-121.78834;36.816701
-121.789713;36.812661
-118.061078;33.7095
-121.621992;38.535822
-113.538743;29.036895
-97.405021;27.654028
-121.789406;36.813988
-122.228352;37.501547
-122.106564;37.458062
-97.272778;26.0171
-120.846185;37.278523
-94.814215;29.36689
-122.147434;37.64023
-96.868515;28.380489
-118.047978;33.699065
-120.835662;35.342657
-122.147627;37.641388
-122.101196;37.457896
-103.588622;31.424491
-97.297175;26.001326
-117.212271;32.778769
-122.644919;37.898427
-122.498934;37.69542
-122.260145;37.532151
-121.765131;36.832507
-97.310495;27.465956
-117.123142;32.568731
-122.373108;37.7382
-97.398304;26.045673
-122.130633;37.492944
-118.046765;33.698422
-122.249067;37.564128
-97.313084;27.471613
-119.188515;34.138251
-121.788318;36.815702
-119.187155;34.138076
-121.829107;36.869003
-120.606408;34.683907
-122.1112;37.459486
-121.812967;36.85491
-122.106356;37.459622
-117.219383;32.760719
-120.904099;35.447507
-119.07506;34.094854
-121.011707;36.519299
-122.315253;37.587938
-97.313504;27.467397
-121.787072;36.816975
-117.259702;32.928652
-122.315565;37.585738
-118.451385;33.961034
-118.045574;33.696387
-121.805474;36.742897
-117.127947;32.559444
-121.794262;36.788627
-97.336083;27.710998
-97.033739;28.032042
-119.49151;34.382475
-103.693612;25.465493
-121.620115;38.54018
-95.662955;28.753283
-97.863004;22.498016
-97.252806;27.518719
-122.173186;37.492583
-117.231523;32.759159
-114.010865;27.748306
-117.219928;32.760751
-122.25993;37.532382
-121.124699;35.599102
-97.098026;28.036077
-121.804991;36.742245
-122.233801;37.4997
-97.348309;27.857853
-97.200511;26.072261
-96.218228;28.6989
-97.385623;27.767913
-117.087192;32.657253
-97.222552;28.082295
-117.260953;32.969308
-122.100549;37.442257
-97.404613;26.217825
-122.24825;37.52306
-122.51976;37.883835
-97.4053;26.217209
-122.454714;37.804943
-118.120562;33.675877
-122.057377;36.949836
-97.095373;28.034736
-118.0464;33.69562
-97.340326;26.219411
-115.615372;33.177318
-117.130523;32.563091
-119.23774;34.17848
-122.454544;38.170298
-94.500462;29.511288
-94.729248;29.369919
-114.010824;27.748082
-121.811256;36.850878
-122.31527;37.587218
-122.315543;37.586117
-117.124534;32.542551
-122.36917;37.60588
-121.788855;36.81543
-112.441803;41.474148
-118.048767;33.698872
-97.326856;27.868288
-118.124764;33.763397
-117.127959;32.553404
-101.905086;38.087428
-117.127011;32.569428
-94.730644;29.375055
-97.385284;27.768206
-119.156814;46.802997
-97.36732;26.235249
-96.04145;28.672704
-117.130308;32.558871
-122.315077;37.587307
-122.248162;37.522823
-95.418047;29.72197
-121.789884;36.815032
-122.479877;37.971809
-122.374878;37.603952
-121.07324;36.486455
-97.199502;27.946179
-111.994028;40.257838
-121.626479;38.540123
-121.751854;36.817168
-122.389331;37.668607
-119.261919;34.232248
-117.897049;33.759796
-104.608051;38.879105
-118.845556;34.030842
-120.279565;45.608994
-121.920027;36.974397
-122.326747;37.80035
-122.513153;37.770695
-121.789039;36.815912
-106.406902;40.585883
-122.251363;37.566687
-119.258147;34.22629
-105.208532;40.203923
-122.594641;38.223463
-122.315737;37.583377
-117.105756;32.649792
-97.175631;26.137352
-122.505509;38.030749
-122.092976;37.439596
-122.278586;37.767865
-97.227888;27.846248
-105.386161;20.014003
-115.536003;33.045364
-97.174592;26.137249
-97.242745;27.538026
-118.933728;34.044206
-115.461914;32.983514
-97.087693;27.828196
-124.09431;40.85933
-121.787583;36.819381
-114.082823;27.97732
-95.8171;29.900465
-122.377065;37.605303
-95.296825;28.949152
-122.314686;37.585883
-120.843966;35.346548
-114.078037;27.972675
-117.104958;32.647217
-121.113433;35.573931
-121.809261;36.850196
-97.26738;27.489982
-113.442259;31.294563
-117.127019;32.569781
-118.932731;34.044926
-117.128238;32.554505
-97.310543;27.392453
-97.833991;28.009479
-117.126722;32.552083
-121.787763;36.816847
-120.073898;34.460907
-87.387687;21.50213
-122.137543;37.623258
-87.387627;21.502187
-117.124378;32.573867
-117.105747;32.650969
-122.106329;37.459674
-97.312923;27.47163
-121.788939;36.81673
-117.126911;32.569692
-97.831745;28.009741
-122.291813;38.199037
-93.341965;29.764322
-97.875899;28.064413
-122.099991;37.445679
-121.789689;36.81285
-97.402897;26.037307
-122.324118;37.804979
-97.24332;27.63684
-94.747653;29.36841
-94.747798;29.36858
-122.388296;37.668671
-122.285975;38.190913
-117.126894;32.569514
-122.37091;37.737616
-106.56086;23.425882
